Week,Day,Date,W/L,Opponent,PF,PA,PD
1,Sun,September 12 2021,W,Commanders,20,16,4
2,Sun,September 19 2021,L,Cowboys,17,20,-3
3,Sun,September 26 2021,W,Chiefs,30,24,6
4,Mon,October 4 2021,W,Raiders,28,14,14
5,Sun,October 10 2021,W,Browns,47,42,5
6,Sun,October 17 2021,L,Ravens,6,34,-28
8,Sun,October 31 2021,L,Patriots,24,27,-3
9,Sun,November 7 2021,W,Eagles,27,24,3
10,Sun,November 14 2021,L,Vikings,20,27,-7
11,Sun,November 21 2021,W,Steelers,41,37,4
12,Sun,November 28 2021,L,Broncos,13,28,-15
13,Sun,December 5 2021,W,Bengals,41,22,19
14,Sun,December 12 2021,W,Giants,37,21,16
15,Thu,December 16 2021,L,Chiefs,28,34,-6
16,Sun,December 26 2021,L,Texans,29,41,-12
17,Sun,January 2 2022,W,Broncos,34,13,21
18,Sun,January 9 2022,L,Raiders,32,35,-3
1,Sun,September 11 2022,W,Raiders,24,19,5
2,Thu,September 15 2022,L,Chiefs,24,27,-3
3,Sun,September 25 2022,L,Jaguars,10,38,-28
4,Sun,October 2 2022,W,Texans,34,24,10
5,Sun,October 9 2022,W,Browns,30,28,2
6,Mon,October 17 2022,W,Broncos,19,16,3
7,Sun,October 23 2022,L,Seahawks,23,37,-14
9,Sun,November 6 2022,W,Falcons,20,17,3
10,Sun,November 13 2022,L,49ers,16,22,-6
11,Sun,November 20 2022,L,Chiefs,27,30,-3
12,Sun,November 27 2022,W,Cardinals,25,24,1
13,Sun,December 4 2022,L,Raiders,20,27,-7
14,Sun,December 11 2022,W,Dolphins,23,17,6
15,Sun,December 18 2022,W,Titans,17,14,3
16,Mon,December 26 2022,W,Colts,20,3,17
17,Sun,January 1 2023,W,Rams,31,10,21
18,Sun,January 8 2023,L,Broncos,28,31,-3
19,Sat,January 14 2023,L,Jaguars,30,31,-1
1,Sun,September 10 2023,L,Dolphins,34,36,-2
