Gm#,Date,Team,Location,Opponent,W/L,W/L_Differential,R,RA,Streak
1,"Thursday, Apr 1",LAD,@,Rockies,L,-3,5,8,-
2,"Friday, Apr 2",LAD,@,Rockies,W,5,11,6,+
3,"Saturday, Apr 3",LAD,@,Rockies,W,1,6,5,++
4,"Sunday, Apr 4",LAD,@,Rockies,W,2,4,2,+++
5,"Monday, Apr 5",LAD,@,As,W,7,10,3,++++
6,"Tuesday, Apr 6",LAD,@,As,W,4,5,1,+++++
7,"Wednesday, Apr 7",LAD,@,As,L,-1,3,4,-
8,"Friday, Apr 9",LAD,,Nationals,W,1,1,0,+
9,"Saturday, Apr 10",LAD,,Nationals,W,4,9,5,++
10,"Sunday, Apr 11",LAD,,Nationals,W,3,3,0,+++
11,"Tuesday, Apr 13",LAD,,Rockies,W,7,7,0,++++
12,"Wednesday, Apr 14",LAD,,Rockies,W,2,4,2,+++++
13,"Thursday, Apr 15",LAD,,Rockies,W,2,7,5,++++++
14,"Friday, Apr 16",LAD,@,Padres,W,5,11,6,+++++++
15,"Saturday, Apr 17",LAD,@,Padres,W,2,2,0,++++++++
16,"Sunday, Apr 18",LAD,@,Padres,L,-3,2,5,-
17,"Monday, Apr 19",LAD,@,Mariners,L,-1,3,4,--
18,"Tuesday, Apr 20",LAD,@,Mariners,W,1,1,0,+
19,"Thursday, Apr 22",LAD,,Padres,L,-1,2,3,-
20,"Friday, Apr 23",LAD,,Padres,L,-5,1,6,--
21,"Saturday, Apr 24",LAD,,Padres,W,1,5,4,+
22,"Sunday, Apr 25",LAD,,Padres,L,-1,7,8,-
23,"Monday, Apr 26",LAD,,Reds,L,-2,3,5,--
24,"Tuesday, Apr 27",LAD,,Reds,L,-1,5,6,---
25,"Wednesday, Apr 28",LAD,,Reds,W,8,8,0,+
26,"Thursday, Apr 29",LAD,@,Brewers,L,-1,1,2,-
27,"Friday, Apr 30",LAD,@,Brewers,L,-2,1,3,--
28,"Saturday, May 1",LAD,@,Brewers,L,-1,5,6,---
29,"Sunday, May 2",LAD,@,Brewers,W,12,16,4,+
30,"Tuesday, May 4 (1)",LAD,@,Cubs,L,-6,1,7,-
31,"Tuesday, May 4 (2)",LAD,@,Cubs,L,-1,3,4,--
32,"Wednesday, May 5",LAD,@,Cubs,L,-1,5,6,---
33,"Friday, May 7",LAD,@,Angels,L,-7,2,9,----
34,"Saturday, May 8",LAD,@,Angels,W,3,14,11,+
35,"Sunday, May 9",LAD,@,Angels,L,-1,1,2,-
36,"Tuesday, May 11",LAD,,Mariners,W,2,6,4,+
37,"Wednesday, May 12",LAD,,Mariners,W,6,7,1,++
38,"Friday, May 14",LAD,,Marlins,W,3,9,6,+++
