Gm#,Date,Team,Location,Opponent,W/L,W/L_Differential,R,RA,Streak
1,"Thursday, Apr 1",SDP,,Diamondbacks,W,1,8,7,+
2,"Friday, Apr 2",SDP,,Diamondbacks,W,2,4,2,++
3,"Saturday, Apr 3",SDP,,Diamondbacks,W,7,7,0,+++
4,"Sunday, Apr 4",SDP,,Diamondbacks,L,-2,1,3,-
5,"Monday, Apr 5",SDP,,Giants,L,-1,2,3,--
6,"Tuesday, Apr 6",SDP,,Giants,W,2,3,1,+
7,"Wednesday, Apr 7",SDP,,Giants,L,-1,2,3,-
8,"Friday, Apr 9",SDP,@,Rangers,W,3,3,0,+
9,"Saturday, Apr 10",SDP,@,Rangers,W,3,7,4,++
10,"Sunday, Apr 11",SDP,@,Rangers,W,2,2,0,+++
11,"Monday, Apr 12",SDP,@,Pirates,W,4,6,2,++++
12,"Tuesday, Apr 13",SDP,@,Pirates,L,-4,4,8,-
13,"Wednesday, Apr 14",SDP,@,Pirates,L,-4,1,5,--
14,"Thursday, Apr 15",SDP,@,Pirates,W,5,8,3,+
15,"Friday, Apr 16",SDP,,Dodgers,L,-5,6,11,-
16,"Saturday, Apr 17",SDP,,Dodgers,L,-2,0,2,--
17,"Sunday, Apr 18",SDP,,Dodgers,W,3,5,2,+
18,"Monday, Apr 19",SDP,,Brewers,L,-2,1,3,-
19,"Tuesday, Apr 20",SDP,,Brewers,L,-6,0,6,--
20,"Wednesday, Apr 21",SDP,,Brewers,L,-2,2,4,---
21,"Thursday, Apr 22",SDP,@,Dodgers,W,1,3,2,+
22,"Friday, Apr 23",SDP,@,Dodgers,W,5,6,1,++
23,"Saturday, Apr 24",SDP,@,Dodgers,L,-1,4,5,-
24,"Sunday, Apr 25",SDP,@,Dodgers,W,1,8,7,+
25,"Tuesday, Apr 27",SDP,@,Diamondbacks,L,-4,1,5,-
26,"Wednesday, Apr 28",SDP,@,Diamondbacks,W,9,12,3,+
27,"Friday, Apr 30",SDP,,Giants,W,1,3,2,++
28,"Saturday, May 1",SDP,,Giants,W,4,6,2,+++
29,"Sunday, May 2",SDP,,Giants,L,-6,1,7,-
30,"Monday, May 3",SDP,,Pirates,W,2,2,0,+
